"team","eventname","score_change","score","event","ranking","region"
"Ex-Frost Esports 3","win_reg3",190,460,7,9,"apacs"
"Ex-Frost Esports 3","win_maj",-460,0,8,25,"apacs"
"Ex-Frost Esports 3","spr_reg1",0,0,9,29,"apacs"
"Ex-Frost Esports 3","spr_reg2",0,0,10,29,"apacs"
"Ex-Frost Esports 3","spr_reg3",0,0,11,30,"apacs"
"Ex-Frost Esports 3","spr_maj",0,0,12,30,"apacs"
"Ex-Odyssey Esports","fall_reg1",70,70,1,12,"apacs"
"Ex-Odyssey Esports","fall_reg2",110,180,2,11,"apacs"
"Ex-Odyssey Esports","fall_reg3",70,250,3,11,"apacs"
"Ex-Odyssey Esports","fall_maj",-250,0,4,24,"apacs"
"Ex-Odyssey Esports","win_reg1",0,0,5,27,"apacs"
"Ex-Odyssey Esports","win_reg2",0,0,6,28,"apacs"
"Ex-Odyssey Esports","win_reg3",0,0,7,30,"apacs"
"Ex-Odyssey Esports","win_maj",0,0,8,26,"apacs"
"Ex-Odyssey Esports","spr_reg1",0,0,9,30,"apacs"
"Ex-Odyssey Esports","spr_reg2",0,0,10,30,"apacs"
"Ex-Odyssey Esports","spr_reg3",0,0,11,31,"apacs"
"Ex-Odyssey Esports","spr_maj",0,0,12,31,"apacs"
"Ex-Shoguns","fall_reg1",40,40,1,15,"apacs"
"Ex-Shoguns","fall_reg2",40,80,2,14,"apacs"
"Ex-Shoguns","fall_reg3",0,80,3,16,"apacs"
"Ex-Shoguns","fall_maj",0,80,4,14,"apacs"
"Ex-Shoguns","win_reg1",-80,0,5,28,"apacs"
"Ex-Shoguns","win_reg2",0,0,6,29,"apacs"
"Ex-Shoguns","win_reg3",0,0,7,31,"apacs"
"Ex-Shoguns","win_maj",0,0,8,27,"apacs"
"Ex-Shoguns","spr_reg1",0,0,9,31,"apacs"
"Ex-Shoguns","spr_reg2",0,0,10,31,"apacs"
"Ex-Shoguns","spr_reg3",0,0,11,32,"apacs"
"Ex-Shoguns","spr_maj",0,0,12,32,"apacs"
"Hiraeth","fall_reg1",40,40,1,16,"apacs"
"Hiraeth","fall_reg2",70,110,2,13,"apacs"
"Hiraeth","fall_reg3",0,110,3,14,"apacs"
"Hiraeth","fall_maj",0,110,4,12,"apacs"
"Hiraeth","win_reg1",-110,0,5,33,"apacs"
"Hiraeth","win_reg2",0,0,6,34,"apacs"
"Hiraeth","win_reg3",0,0,7,36,"apacs"
"Hiraeth","win_maj",0,0,8,32,"apacs"
"Hiraeth","spr_reg1",0,0,9,34,"apacs"
"Hiraeth","spr_reg2",0,0,10,32,"apacs"
"Hiraeth","spr_reg3",0,0,11,33,"apacs"
"Hiraeth","spr_maj",0,0,12,33,"apacs"
"Integrity","fall_reg1",0,0,1,30,"apacs"
"Integrity","fall_reg2",0,0,2,29,"apacs"
"Integrity","fall_reg3",0,0,3,30,"apacs"
"Integrity","fall_maj",0,0,4,30,"apacs"
"Integrity","win_reg1",60,60,5,18,"apacs"
"Integrity","win_reg2",0,60,6,18,"apacs"
"Integrity","win_reg3",-60,0,7,37,"apacs"
"Integrity","win_maj",0,0,8,33,"apacs"
"Integrity","spr_reg1",0,0,9,35,"apacs"
"Integrity","spr_reg2",0,0,10,33,"apacs"
"Integrity","spr_reg3",0,0,11,34,"apacs"
"Integrity","spr_maj",0,0,12,34,"apacs"
"Moonboots","fall_reg1",110,110,1,10,"apacs"
"Moonboots","fall_reg2",150,260,2,9,"apacs"
"Moonboots","fall_reg3",110,370,3,9,"apacs"
"Moonboots","fall_maj",0,370,4,8,"apacs"
"Moonboots","win_reg1",220,590,5,3,"apacs"
"Moonboots","win_reg2",190,780,6,3,"apacs"
"Moonboots","win_reg3",160,940,7,3,"apacs"
"Moonboots","win_maj",-940,0,8,35,"apacs"
"Moonboots","spr_reg1",0,0,9,36,"apacs"
"Moonboots","spr_reg2",0,0,10,34,"apacs"
"Moonboots","spr_reg3",0,0,11,35,"apacs"
"Moonboots","spr_maj",0,0,12,35,"apacs"
"Origin Gaming","fall_reg1",0,0,1,34,"apacs"
"Origin Gaming","fall_reg2",0,0,2,33,"apacs"
"Origin Gaming","fall_reg3",0,0,3,34,"apacs"
"Origin Gaming","fall_maj",0,0,4,34,"apacs"
"Origin Gaming","win_reg1",0,0,5,36,"apacs"
"Origin Gaming","win_reg2",0,0,6,37,"apacs"
"Origin Gaming","win_reg3",110,110,7,15,"apacs"
"Origin Gaming","win_maj",0,110,8,12,"apacs"
"Origin Gaming","spr_reg1",130,240,9,11,"apacs"
"Origin Gaming","spr_reg2",-240,0,10,36,"apacs"
"Origin Gaming","spr_reg3",0,0,11,36,"apacs"
"Origin Gaming","spr_maj",0,0,12,36,"apacs"
"Pumpkings","fall_reg1",0,0,1,35,"apacs"
"Pumpkings","fall_reg2",0,0,2,34,"apacs"
"Pumpkings","fall_reg3",110,110,3,15,"apacs"
"Pumpkings","fall_maj",0,110,4,13,"apacs"
"Pumpkings","win_reg1",-110,0,5,37,"apacs"
"Pumpkings","win_reg2",0,0,6,38,"apacs"
"Pumpkings","win_reg3",0,0,7,40,"apacs"
"Pumpkings","win_maj",0,0,8,37,"apacs"
"Pumpkings","spr_reg1",0,0,9,38,"apacs"
"Pumpkings","spr_reg2",0,0,10,37,"apacs"
"Pumpkings","spr_reg3",0,0,11,37,"apacs"
"Pumpkings","spr_maj",0,0,12,37,"apacs"
"Resolute Alpha","fall_reg1",0,0,1,36,"apacs"
"Resolute Alpha","fall_reg2",0,0,2,35,"apacs"
"Resolute Alpha","fall_reg3",0,0,3,35,"apacs"
"Resolute Alpha","fall_maj",0,0,4,35,"apacs"
"Resolute Alpha","win_reg1",0,0,5,38,"apacs"
"Resolute Alpha","win_reg2",0,0,6,39,"apacs"
"Resolute Alpha","win_reg3",110,110,7,16,"apacs"
"Resolute Alpha","win_maj",-110,0,8,38,"apacs"
"Resolute Alpha","spr_reg1",0,0,9,39,"apacs"
"Resolute Alpha","spr_reg2",0,0,10,38,"apacs"
"Resolute Alpha","spr_reg3",0,0,11,38,"apacs"
"Resolute Alpha","spr_maj",0,0,12,38,"apacs"
"ScubaDrivers","fall_reg1",70,70,1,13,"apacs"
"ScubaDrivers","fall_reg2",-70,0,2,36,"apacs"
"ScubaDrivers","fall_reg3",0,0,3,36,"apacs"
"ScubaDrivers","fall_maj",0,0,4,36,"apacs"
"ScubaDrivers","win_reg1",0,0,5,39,"apacs"
"ScubaDrivers","win_reg2",0,0,6,40,"apacs"
"ScubaDrivers","win_reg3",0,0,7,41,"apacs"
"ScubaDrivers","win_maj",0,0,8,39,"apacs"
"ScubaDrivers","spr_reg1",0,0,9,40,"apacs"
"ScubaDrivers","spr_reg2",0,0,10,39,"apacs"
"ScubaDrivers","spr_reg3",0,0,11,39,"apacs"
"ScubaDrivers","spr_maj",0,0,12,39,"apacs"
"TK Esports","fall_reg1",0,0,1,43,"apacs"
"TK Esports","fall_reg2",0,0,2,43,"apacs"
"TK Esports","fall_reg3",0,0,3,43,"apacs"
"TK Esports","fall_maj",0,0,4,43,"apacs"
"TK Esports","win_reg1",0,0,5,44,"apacs"
"TK Esports","win_reg2",0,0,6,44,"apacs"
"TK Esports","win_reg3",0,0,7,44,"apacs"
"TK Esports","win_maj",0,0,8,43,"apacs"
"TK Esports","spr_reg1",0,0,9,43,"apacs"
"TK Esports","spr_reg2",0,0,10,43,"apacs"
"TK Esports","spr_reg3",0,0,11,43,"apacs"
"TK Esports","spr_maj",0,0,12,43,"apacs"
"Team India","fall_reg1",0,0,1,38,"apacs"
"Team India","fall_reg2",0,0,2,38,"apacs"
"Team India","fall_reg3",0,0,3,38,"apacs"
"Team India","fall_maj",0,0,4,38,"apacs"
"Team India","win_reg1",160,160,5,13,"apacs"
"Team India","win_reg2",110,270,6,13,"apacs"
"Team India","win_reg3",-110,160,7,14,"apacs"
"Team India","win_maj",0,160,8,11,"apacs"
"Team India","spr_reg1",0,160,9,15,"apacs"
"Team India","spr_reg2",0,160,10,17,"apacs"
"Team India","spr_reg3",0,160,11,19,"apacs"
"Team India","spr_maj",0,160,12,19,"apacs"
"Team NazguL","fall_reg1",70,70,1,14,"apacs"
