"team","eventname","score_change","score","event","ranking","region"
"Hilltop Picnic","fall_reg3",150,550,3,5,"apacn"
"Hilltop Picnic","fall_maj",0,550,4,5,"apacn"
"Hilltop Picnic","win_reg1",190,740,5,4,"apacn"
"Hilltop Picnic","win_reg2",190,930,6,4,"apacn"
"Hilltop Picnic","win_reg3",60,990,7,4,"apacn"
"Hilltop Picnic","win_maj",0,990,8,4,"apacn"
"Hilltop Picnic","spr_reg1",210,1200,9,4,"apacn"
"Hilltop Picnic","spr_reg2",-1200,0,10,26,"apacn"
"Hilltop Picnic","spr_reg3",0,0,11,26,"apacn"
"Hilltop Picnic","spr_maj",0,0,12,26,"apacn"
"KACHIAGE Island","fall_reg1",70,70,1,13,"apacn"
"KACHIAGE Island","fall_reg2",0,70,2,16,"apacn"
"KACHIAGE Island","fall_reg3",-70,0,3,25,"apacn"
"KACHIAGE Island","fall_maj",0,0,4,25,"apacn"
"KACHIAGE Island","win_reg1",0,0,5,26,"apacn"
"KACHIAGE Island","win_reg2",0,0,6,27,"apacn"
"KACHIAGE Island","win_reg3",0,0,7,27,"apacn"
"KACHIAGE Island","win_maj",0,0,8,27,"apacn"
"KACHIAGE Island","spr_reg1",0,0,9,27,"apacn"
"KACHIAGE Island","spr_reg2",0,0,10,28,"apacn"
"KACHIAGE Island","spr_reg3",0,0,11,28,"apacn"
"KACHIAGE Island","spr_maj",0,0,12,28,"apacn"
"KokeKoke Kickers","fall_reg1",0,0,1,23,"apacn"
"KokeKoke Kickers","fall_reg2",0,0,2,25,"apacn"
"KokeKoke Kickers","fall_reg3",110,110,3,15,"apacn"
"KokeKoke Kickers","fall_maj",0,110,4,15,"apacn"
"KokeKoke Kickers","win_reg1",0,110,5,15,"apacn"
"KokeKoke Kickers","win_reg2",-110,0,6,28,"apacn"
"KokeKoke Kickers","win_reg3",0,0,7,28,"apacn"
"KokeKoke Kickers","win_maj",0,0,8,28,"apacn"
"KokeKoke Kickers","spr_reg1",0,0,9,28,"apacn"
"KokeKoke Kickers","spr_reg2",0,0,10,29,"apacn"
"KokeKoke Kickers","spr_reg3",0,0,11,29,"apacn"
"KokeKoke Kickers","spr_maj",0,0,12,29,"apacn"
"Mai Kagura","fall_reg1",0,0,1,24,"apacn"
"Mai Kagura","fall_reg2",0,0,2,26,"apacn"
"Mai Kagura","fall_reg3",0,0,3,27,"apacn"
"Mai Kagura","fall_maj",0,0,4,27,"apacn"
"Mai Kagura","win_reg1",0,0,5,28,"apacn"
"Mai Kagura","win_reg2",0,0,6,30,"apacn"
"Mai Kagura","win_reg3",0,0,7,30,"apacn"
"Mai Kagura","win_maj",0,0,8,30,"apacn"
"Mai Kagura","spr_reg1",0,0,9,30,"apacn"
"Mai Kagura","spr_reg2",80,80,10,18,"apacn"
"Mai Kagura","spr_reg3",-80,0,11,30,"apacn"
"Mai Kagura","spr_maj",0,0,12,30,"apacn"
"N Chiki","fall_reg1",0,0,1,26,"apacn"
"N Chiki","fall_reg2",110,110,2,13,"apacn"
"N Chiki","fall_reg3",0,110,3,17,"apacn"
"N Chiki","fall_maj",0,110,4,17,"apacn"
"N Chiki","win_reg1",0,110,5,16,"apacn"
"N Chiki","win_reg2",0,110,6,17,"apacn"
"N Chiki","win_reg3",0,110,7,19,"apacn"
"N Chiki","win_maj",0,110,8,19,"apacn"
"N Chiki","spr_reg1",0,110,9,18,"apacn"
"N Chiki","spr_reg2",0,110,10,17,"apacn"
"N Chiki","spr_reg3",0,110,11,19,"apacn"
"N Chiki","spr_maj",0,110,12,19,"apacn"
"Screaaam!","fall_reg1",70,70,1,14,"apacn"
"Screaaam!","fall_reg2",0,70,2,17,"apacn"
"Screaaam!","fall_reg3",-70,0,3,30,"apacn"
"Screaaam!","fall_maj",0,0,4,30,"apacn"
"Screaaam!","win_reg1",0,0,5,32,"apacn"
"Screaaam!","win_reg2",0,0,6,33,"apacn"
"Screaaam!","win_reg3",0,0,7,32,"apacn"
"Screaaam!","win_maj",0,0,8,32,"apacn"
"Screaaam!","spr_reg1",0,0,9,32,"apacn"
"Screaaam!","spr_reg2",0,0,10,31,"apacn"
"Screaaam!","spr_reg3",0,0,11,31,"apacn"
"Screaaam!","spr_maj",0,0,12,31,"apacn"
"spider","fall_reg1",0,0,1,30,"apacn"
"spider","fall_reg2",0,0,2,31,"apacn"
"spider","fall_reg3",0,0,3,32,"apacn"
"spider","fall_maj",0,0,4,32,"apacn"
"spider","win_reg1",0,0,5,33,"apacn"
"spider","win_reg2",60,60,6,21,"apacn"
"spider","win_reg3",-60,0,7,33,"apacn"
"spider","win_maj",0,0,8,33,"apacn"
"spider","spr_reg1",0,0,9,33,"apacn"
"spider","spr_reg2",0,0,10,32,"apacn"
"spider","spr_reg3",0,0,11,32,"apacn"
"spider","spr_maj",0,0,12,32,"apacn"
"Sylphide","fall_reg1",0,0,1,31,"apacn"
"Sylphide","fall_reg2",40,40,2,19,"apacn"
"Sylphide","fall_reg3",0,40,3,20,"apacn"
"Sylphide","fall_maj",0,40,4,20,"apacn"
"Sylphide","win_reg1",60,100,5,18,"apacn"
"Sylphide","win_reg2",0,100,6,18,"apacn"
"Sylphide","win_reg3",110,210,7,13,"apacn"
"Sylphide","win_maj",0,210,8,13,"apacn"
"Sylphide","spr_reg1",-210,0,9,34,"apacn"
"Sylphide","spr_reg2",0,0,10,33,"apacn"
"Sylphide","spr_reg3",0,0,11,33,"apacn"
"Sylphide","spr_maj",0,0,12,33,"apacn"
"Triumph","fall_reg1",0,0,1,33,"apacn"
"Triumph","fall_reg2",0,0,2,33,"apacn"
"Triumph","fall_reg3",0,0,3,33,"apacn"
"Triumph","fall_maj",0,0,4,33,"apacn"
"Triumph","win_reg1",0,0,5,34,"apacn"
"Triumph","win_reg2",0,0,6,34,"apacn"
"Triumph","win_reg3",0,0,7,34,"apacn"
"Triumph","win_maj",0,0,8,34,"apacn"
"Triumph","spr_reg1",80,80,9,20,"apacn"
"Triumph","spr_reg2",-80,0,10,34,"apacn"
